Summary,Issue Type,Priority,Status,Assignee,Reporter,Components,Labels,Description
"EPIC-1: Production Deployment Setup","Epic","Critical","Not Started","","","Infrastructure, Deployment","production, railway, deployment","Coordinate all infrastructure setup tasks for production deployment. Includes Railway setup, database provisioning, secrets, and environment variables."
"TASK-1.1: Railway Infrastructure Setup","Task","Critical","Not Started","","EPIC-1","Railway","infrastructure, deployment","Create Railway projects for api-gateway, kyc-service, bank-adapter, and reporter. Link GitHub and enable auto-deploy. Est: 1 day"
"TASK-1.2: Database Provisioning","Task","Critical","Not Started","","EPIC-1","Database","infrastructure, database, postgresql","Provision production PostgreSQL database, enable SSL, create schema, generate DATABASE_URL. Est: 1 day"
"TASK-1.3: Secrets Generation & Management","Task","Critical","Not Started","","EPIC-1","Security","secrets, production, security","Generate AUTH_TOKEN_SECRET and SUPABASE_JWT_SECRET, store in Railway Variables (encrypted). Est: 0.5 day"
"TASK-1.4: Environment Variables Configuration","Task","Critical","Not Started","","EPIC-1","Configuration","env-vars, production, configuration","Set all required environment variables in Railway dashboard for all 4 services. Verify Zod validation. Est: 0.5 day"
"EPIC-2: Solana Configuration","Epic","High","Blocked","","","Solana, Configuration","solana, blockchain, configuration","Configure Solana integration. Blocked until product team provides program IDs and RPC endpoint decision."
"TASK-2.1: Verify Solana RPC Configuration","Task","High","Blocked","","EPIC-2","Solana","solana, rpc, configuration","Decide devnet vs mainnet, test SOLANA_RPC_URL connectivity. Blocked on product decision. Est: 1 day"
"TASK-2.2: Provide Solana Program IDs","Task","High","Blocked","","EPIC-2","Solana","solana, program-ids, configuration","Product team must provide PROGRAM_ID_WALLET_WHITELIST and PROGRAM_ID_COMPLIANCE_REGISTRY. Blocker for deployment. Est: 1 day"
"TASK-2.3: Solana Authority Configuration","Task","Medium","Blocked","","EPIC-2","Solana","solana, kms, security","Decide filesystem vs KMS signing, configure authority keypair. Needs security/ops decision. Est: 0.5 day"
"EPIC-3: Deployment & Testing","Epic","High","Not Started","","","Testing, Deployment","testing, deployment, validation","Execute deployment to Railway and perform comprehensive testing. Dependent on EPIC-1 and EPIC-2."
"TASK-3.1: Deploy to Railway","Task","High","Not Started","","EPIC-3","Deployment, Testing","deployment, railway, testing","Push code to GitHub, monitor Railway deployment. All 4 services must start successfully. Est: 1 day"
"TASK-3.2: Health Check Verification","Task","High","Not Started","","EPIC-3","Testing, Health","health-checks, testing, verification","Verify all /api/health endpoints return 200. Verify Railway marks services as Healthy. Est: 0.5 day"
