Backlog ID,Work Item ID,Summary,Issue Type,Description,Priority,Story Points,Status,Component,Labels,Epic Name,Parent Epic,Parent,Phase,Target Release,Target Sprint
MVP-E01,MVP-E01,Scope & Architecture Lock,Epic,"Freeze the MVP scope so delivery stays narrow: single-tenant, EU-only, Sumsub-only, devnet-only, one report type, and no live bank rails.",Highest,,Backlog,Architecture,"phase:mvp, component:architecture, type:epic, priority:p0",MVP-E01 Scope & Architecture Lock,,,MVP,MVP,W1
MVP-S01,MVP-S01,Refresh README and setup notes to match the current build-verified environment,Story,"Update project documentation so the repo, environment, and current build state are accurate for contributors and pilot stakeholders.",High,2,To Do,Docs,"phase:mvp, component:docs, type:story, priority:p1",,MVP-E01 Scope & Architecture Lock,MVP-E01,MVP,MVP,W1
MVP-S02,MVP-S02,"Write architecture decisions for single-tenant, EU-only, Sumsub-only, and devnet-only MVP scope",Story,Create short ADRs that explicitly lock the MVP operating model and cut out non-MVP scope.,Highest,3,To Do,Architecture,"phase:mvp, component:architecture, type:story, priority:p0",,MVP-E01 Scope & Architecture Lock,MVP-E01,MVP,MVP,W1
MVP-S03,MVP-S03,"Define role model and workflow states for entities, wallets, cases, and reports",Story,Specify the allowed states and actor permissions before implementation begins.,Highest,3,To Do,Product,"phase:mvp, component:product, type:story, priority:p0",,MVP-E01 Scope & Architecture Lock,MVP-E01,MVP,MVP,W1
MVP-S04,MVP-S04,"Finalize pilot scope, hard cut line, and launch metrics",Story,Turn the MVP plan into an agreed pilot contract with explicit no-go items and measurable success criteria.,High,2,To Do,Product,"phase:mvp, component:product, type:story, priority:p1",,MVP-E01 Scope & Architecture Lock,MVP-E01,MVP,MVP,W1
MVP-E02,MVP-E02,Platform Foundation,Epic,"Add the persistence, queueing, config, and CI base needed for a real application instead of a scaffold.",Highest,,Backlog,Platform,"phase:mvp, component:platform, type:epic, priority:p0",MVP-E02 Platform Foundation,,,MVP,MVP,W2-W3
MVP-S05,MVP-S05,Select persistence module and add migrations,Story,Choose the persistence approach and implement schema migration tooling that runs on fresh environments.,Highest,5,To Do,Platform,"phase:mvp, component:platform, type:story, priority:p0",,MVP-E02 Platform Foundation,MVP-E02,MVP,MVP,W2
MVP-S06,MVP-S06,"Create core schema for users, entities, wallets, cases, reports, webhooks, and audit events",Story,Implement the initial relational data model required for the pilot workflow.,Highest,8,To Do,Database,"phase:mvp, component:database, type:story, priority:p0",,MVP-E02 Platform Foundation,MVP-E02,MVP,MVP,W2
MVP-S07,MVP-S07,"Add Redis queue, config validation, and structured logging",Story,Introduce background job support and consistent runtime validation/logging across services.,High,5,To Do,Platform,"phase:mvp, component:platform, type:story, priority:p1",,MVP-E02 Platform Foundation,MVP-E02,MVP,MVP,W3
MVP-S08,MVP-S08,"Add CI pipeline for typecheck, build, migrations, and test jobs",Story,Establish a CI baseline so the codebase can be reviewed and deployed with confidence.,High,3,To Do,CI-CD,"phase:mvp, component:ci-cd, type:story, priority:p1",,MVP-E02 Platform Foundation,MVP-E02,MVP,MVP,W3
MVP-E03,MVP-E03,"Auth, RBAC & Audit",Epic,Protect approvals and create evidence for every privileged action in the MVP.,Highest,,Backlog,Auth,"phase:mvp, component:auth, type:epic, priority:p0","MVP-E03 Auth, RBAC & Audit",,,MVP,MVP,W2-W4
MVP-S09,MVP-S09,Implement user and session model,Story,"Add persistent user identities, roles, and sessions suitable for an institutional pilot.",Highest,5,To Do,Auth,"phase:mvp, component:auth, type:story, priority:p0",,"MVP-E03 Auth, RBAC & Audit",MVP-E03,MVP,MVP,W2
MVP-S10,MVP-S10,Add login and token lifecycle endpoints,Story,Implement the authentication path for dashboard and API access.,Highest,5,To Do,Auth,"phase:mvp, component:auth, type:story, priority:p0",,"MVP-E03 Auth, RBAC & Audit",MVP-E03,MVP,MVP,W3
MVP-S11,MVP-S11,"Add RBAC guards for admin, compliance officer, and auditor actions",Story,Enforce authorization at route and service levels for all pilot-critical actions.,Highest,5,To Do,Auth,"phase:mvp, component:auth, type:story, priority:p0",,"MVP-E03 Auth, RBAC & Audit",MVP-E03,MVP,MVP,W3
MVP-S12,MVP-S12,Add immutable audit event service and middleware,Story,"Record who did what, when, and with what before/after state across critical workflows.",Highest,5,To Do,Audit,"phase:mvp, component:audit, type:story, priority:p0",,"MVP-E03 Auth, RBAC & Audit",MVP-E03,MVP,MVP,W4
MVP-E04,MVP-E04,Entity Onboarding & KYC,Epic,Allow one institutional customer to onboard a legal entity and complete KYC via Sumsub sandbox.,Highest,,Backlog,KYC,"phase:mvp, component:kyc, type:epic, priority:p0",MVP-E04 Entity Onboarding & KYC,,,MVP,MVP,W4-W5
MVP-S13,MVP-S13,Build entity CRUD and onboarding workflow API,Story,Create the entity service endpoints and states needed for draft-to-approval progression.,Highest,8,To Do,Entities,"phase:mvp, component:entities, type:story, priority:p0",,MVP-E04 Entity Onboarding & KYC,MVP-E04,MVP,MVP,W4
MVP-S14,MVP-S14,Implement Sumsub applicant creation in sandbox,Story,Wire the KYC service to create applicants and capture provider references in the database.,Highest,5,To Do,KYC,"phase:mvp, component:kyc, type:story, priority:p0",,MVP-E04 Entity Onboarding & KYC,MVP-E04,MVP,MVP,W4
MVP-S15,MVP-S15,"Implement webhook verification, idempotency, and entity status sync",Story,Ingest Sumsub callbacks safely and update entity/KYC state without duplicate processing.,Highest,8,To Do,KYC,"phase:mvp, component:kyc, type:story, priority:p0",,MVP-E04 Entity Onboarding & KYC,MVP-E04,MVP,MVP,W5
MVP-S16,MVP-S16,Build dashboard KYC review and evidence screens,Story,"Expose onboarding, provider state, and approval actions to compliance users.",High,5,To Do,Dashboard,"phase:mvp, component:dashboard, type:story, priority:p1",,MVP-E04 Entity Onboarding & KYC,MVP-E04,MVP,MVP,W5
MVP-E05,MVP-E05,Wallet Governance & Solana Sync,Epic,Move approved wallets through review and sync the allowlist decision to Solana devnet.,Highest,,Backlog,Wallets,"phase:mvp, component:wallets, type:epic, priority:p0",MVP-E05 Wallet Governance & Solana Sync,,,MVP,MVP,W6-W7
MVP-S17,MVP-S17,Build wallet request and approval workflow,Story,Add the wallet lifecycle with entity approval prerequisite and compliance approval actions.,Highest,5,To Do,Wallets,"phase:mvp, component:wallets, type:story, priority:p0",,MVP-E05 Wallet Governance & Solana Sync,MVP-E05,MVP,MVP,W6
MVP-S18,MVP-S18,Replace placeholder program IDs and add whitelist program tests,Story,Remove placeholder Solana IDs and add deterministic tests for wallet whitelist instructions.,Highest,8,To Do,Solana,"phase:mvp, component:solana, type:story, priority:p0",,MVP-E05 Wallet Governance & Solana Sync,MVP-E05,MVP,MVP,W6
MVP-S19,MVP-S19,Turn dry-run whitelist sync into real devnet transaction submission,Story,Make wallet approvals create a real devnet instruction and capture the resulting signature.,Highest,8,To Do,Solana,"phase:mvp, component:solana, type:story, priority:p0",,MVP-E05 Wallet Governance & Solana Sync,MVP-E05,MVP,MVP,W7
MVP-S20,MVP-S20,Add wallet operations screens and tx signature visibility,Story,"Add the operator-facing wallet views with approval status, risk notes, and chain sync evidence.",High,5,To Do,Dashboard,"phase:mvp, component:dashboard, type:story, priority:p1",,MVP-E05 Wallet Governance & Solana Sync,MVP-E05,MVP,MVP,W7
MVP-E06,MVP-E06,Transaction Review & Reporting,Epic,Create the manual review loop that makes the platform useful as a compliance control plane.,Highest,,Backlog,Transaction Review,"phase:mvp, component:transaction-review, type:epic, priority:p0",MVP-E06 Transaction Review & Reporting,,,MVP,MVP,W8-W10
MVP-S21,MVP-S21,Build transaction case model and queue API,Story,Implement the persistence and API surface for transaction review cases.,Highest,8,To Do,Transaction Review,"phase:mvp, component:transaction-review, type:story, priority:p0",,MVP-E06 Transaction Review & Reporting,MVP-E06,MVP,MVP,W8
MVP-S22,MVP-S22,"Implement baseline rules for amount, high-risk entity, and manual review triggers",Story,Add the first narrow rules engine to open review cases when transactions cross pilot thresholds.,High,5,To Do,Compliance Rules,"phase:mvp, component:compliance-rules, type:story, priority:p1",,MVP-E06 Transaction Review & Reporting,MVP-E06,MVP,MVP,W8
MVP-S23,MVP-S23,"Add case actions approve, reject, and escalate with notes and evidence",Story,Allow compliance officers to resolve cases and preserve rationale.,Highest,5,To Do,Transaction Review,"phase:mvp, component:transaction-review, type:story, priority:p0",,MVP-E06 Transaction Review & Reporting,MVP-E06,MVP,MVP,W9
MVP-S24,MVP-S24,Build monthly MiCA report export and report history,Story,Generate one monthly operational report from pilot data and make it downloadable.,High,5,To Do,Reporting,"phase:mvp, component:reporting, type:story, priority:p1",,MVP-E06 Transaction Review & Reporting,MVP-E06,MVP,MVP,W10
MVP-E07,MVP-E07,Pilot Hardening & Release,Epic,Move from local proof-of-concept to something a design partner can actually use in staging.,Highest,,Backlog,DevOps,"phase:mvp, component:devops, type:epic, priority:p0",MVP-E07 Pilot Hardening & Release,,,MVP,MVP,W10-W12
MVP-S25,MVP-S25,Add Dockerfiles and local orchestration,Story,Package the services so the full stack can run consistently outside a single developer laptop.,High,5,To Do,DevOps,"phase:mvp, component:devops, type:story, priority:p1",,MVP-E07 Pilot Hardening & Release,MVP-E07,MVP,MVP,W10
MVP-S26,MVP-S26,"Add staging deployment, secrets handling, and health checks",Story,Create a repeatable staging deployment with environment-managed secrets and operational probes.,Highest,8,To Do,DevOps,"phase:mvp, component:devops, type:story, priority:p0",,MVP-E07 Pilot Hardening & Release,MVP-E07,MVP,MVP,W11
MVP-S27,MVP-S27,"Add monitoring, alerting, backups, and incident runbook",Story,Put basic operational protection around the pilot environment.,High,5,To Do,Operations,"phase:mvp, component:operations, type:story, priority:p1",,MVP-E07 Pilot Hardening & Release,MVP-E07,MVP,MVP,W11
MVP-S28,MVP-S28,"Execute UAT, pilot checklist, and go-no-go review",Story,Run the end-to-end pilot workflow and document open issues before customer exposure.,Highest,3,To Do,Release,"phase:mvp, component:release, type:story, priority:p0",,MVP-E07 Pilot Hardening & Release,MVP-E07,MVP,MVP,W12
BETA-E01,BETA-E01,UX & Operator Productivity,Epic,Use feedback from the MVP to make the system faster and easier for real operators.,High,,Backlog,Dashboard,"phase:beta, component:dashboard, type:epic, priority:p1",BETA-E01 UX & Operator Productivity,,,Beta,Beta,B1-B4
BETA-S01,BETA-S01,Port the best TreasuryOS2 layouts into real dashboard screens,Story,Reuse the strongest UI patterns from TreasuryOS2 on top of live data flows.,High,5,To Do,Dashboard,"phase:beta, component:dashboard, type:story, priority:p1",,BETA-E01 UX & Operator Productivity,BETA-E01,Beta,Beta,B1
BETA-S02,BETA-S02,"Add advanced search, filtering, and saved views",Story,"Improve operator productivity for larger volumes of entities, wallets, and cases.",Medium,5,To Do,Dashboard,"phase:beta, component:dashboard, type:story, priority:p2",,BETA-E01 UX & Operator Productivity,BETA-E01,Beta,Beta,B1
BETA-S03,BETA-S03,Add bulk actions for approvals and report operations,Story,Support controlled batch actions where a pilot customer needs efficiency.,Medium,5,To Do,Dashboard,"phase:beta, component:dashboard, type:story, priority:p2",,BETA-E01 UX & Operator Productivity,BETA-E01,Beta,Beta,B2
BETA-S04,BETA-S04,Add in-app notifications and operator inbox,Story,"Provide a central place for new cases, failed syncs, and review reminders.",Medium,5,To Do,Dashboard,"phase:beta, component:dashboard, type:story, priority:p2",,BETA-E01 UX & Operator Productivity,BETA-E01,Beta,Beta,B2
BETA-E02,BETA-E02,Integration Expansion,Epic,Broaden the product beyond the single-provider MVP while staying in sandbox or pre-production mode.,High,,Backlog,Integrations,"phase:beta, component:integrations, type:epic, priority:p1",BETA-E02 Integration Expansion,,,Beta,Beta,B2-B5
BETA-S05,BETA-S05,Add Jumio as a secondary KYC provider,Story,Introduce a second KYC path so the product is less dependent on one provider.,Medium,5,To Do,KYC,"phase:beta, component:kyc, type:story, priority:p2",,BETA-E02 Integration Expansion,BETA-E02,Beta,Beta,B2
BETA-S06,BETA-S06,Integrate AMINA sandbox workflows,Story,Validate the bank adapter against sandbox assumptions before any production rail work.,Medium,8,To Do,Integrations,"phase:beta, component:integrations, type:story, priority:p2",,BETA-E02 Integration Expansion,BETA-E02,Beta,Beta,B3
BETA-S07,BETA-S07,Add SWIFT mock and ISO 20022 validation workflow,Story,Model outbound payment preparation with stronger message validation before real SWIFT work.,Medium,8,To Do,Integrations,"phase:beta, component:integrations, type:story, priority:p2",,BETA-E02 Integration Expansion,BETA-E02,Beta,Beta,B4
BETA-S08,BETA-S08,Add sanctions provider abstraction layer,Story,Prepare the compliance engine for provider-backed sanctions and screening integrations.,High,5,To Do,Compliance Rules,"phase:beta, component:compliance-rules, type:story, priority:p1",,BETA-E02 Integration Expansion,BETA-E02,Beta,Beta,B5
BETA-E03,BETA-E03,Automation & Workflow Operations,Epic,Reduce manual operational load while preserving control and auditability.,High,,Backlog,Workflow Automation,"phase:beta, component:workflow-automation, type:epic, priority:p1",BETA-E03 Automation & Workflow Operations,,,Beta,Beta,B3-B6
BETA-S09,BETA-S09,Add SLA timers and escalation rules,Story,Track review deadlines and highlight stale cases or pending approvals.,Medium,5,To Do,Workflow Automation,"phase:beta, component:workflow-automation, type:story, priority:p2",,BETA-E03 Automation & Workflow Operations,BETA-E03,Beta,Beta,B3
BETA-S10,BETA-S10,Automate case creation from risk events and workflow triggers,Story,Create cases automatically from system events rather than only manual operator action.,Medium,5,To Do,Workflow Automation,"phase:beta, component:workflow-automation, type:story, priority:p2",,BETA-E03 Automation & Workflow Operations,BETA-E03,Beta,Beta,B4
BETA-S11,BETA-S11,Add webhook retries and reconciliation dashboard,Story,Make provider failures visible and recoverable without shell access.,High,5,To Do,Workflow Automation,"phase:beta, component:workflow-automation, type:story, priority:p1",,BETA-E03 Automation & Workflow Operations,BETA-E03,Beta,Beta,B5
BETA-S12,BETA-S12,Add scheduled report jobs and recurring exports,Story,Turn reporting into a recurring operational process for pilot customers.,Medium,5,To Do,Reporting,"phase:beta, component:reporting, type:story, priority:p2",,BETA-E03 Automation & Workflow Operations,BETA-E03,Beta,Beta,B6
BETA-E04,BETA-E04,Org & Tenant Readiness,Epic,Prepare the platform for more than one customer without yet going fully self-serve SaaS.,High,,Backlog,Tenancy,"phase:beta, component:tenancy, type:epic, priority:p1",BETA-E04 Org & Tenant Readiness,,,Beta,Beta,B4-B7
BETA-S13,BETA-S13,Add organization settings and environment configuration UI,Story,Allow a pilot customer to manage settings without code changes.,Medium,5,To Do,Tenancy,"phase:beta, component:tenancy, type:story, priority:p2",,BETA-E04 Org & Tenant Readiness,BETA-E04,Beta,Beta,B4
BETA-S14,BETA-S14,Implement tenant isolation at the data layer for pilot tenants,Story,Partition data cleanly enough to support a controlled beta with multiple customers.,High,8,To Do,Tenancy,"phase:beta, component:tenancy, type:story, priority:p1",,BETA-E04 Org & Tenant Readiness,BETA-E04,Beta,Beta,B5
BETA-S15,BETA-S15,Add service accounts and API keys for machine-to-machine access,Story,Support integrations without forcing human login flows for all system actions.,Medium,5,To Do,Auth,"phase:beta, component:auth, type:story, priority:p2",,BETA-E04 Org & Tenant Readiness,BETA-E04,Beta,Beta,B6
BETA-S16,BETA-S16,Create customer and auditor export package,Story,Package audit logs and evidence references into something reviewable outside the product.,High,5,To Do,Audit,"phase:beta, component:audit, type:story, priority:p1",,BETA-E04 Org & Tenant Readiness,BETA-E04,Beta,Beta,B7
BETA-E05,BETA-E05,Security & Beta Reliability,Epic,Increase system confidence before committing to a broader rollout.,High,,Backlog,Security,"phase:beta, component:security, type:epic, priority:p1",BETA-E05 Security & Beta Reliability,,,Beta,Beta,B5-B8
BETA-S17,BETA-S17,Add tracing and richer operational dashboards,Story,Improve observability from basic logs to request and job-level tracing.,Medium,5,To Do,Operations,"phase:beta, component:operations, type:story, priority:p2",,BETA-E05 Security & Beta Reliability,BETA-E05,Beta,Beta,B5
BETA-S18,BETA-S18,Add secret rotation and dependency supply-chain scanning,Story,Reduce operational and security risk in a beta environment.,High,5,To Do,Security,"phase:beta, component:security, type:story, priority:p1",,BETA-E05 Security & Beta Reliability,BETA-E05,Beta,Beta,B6
BETA-S19,BETA-S19,Run penetration test or external review and remediate findings,Story,Bring in an outside view before expanding customer exposure.,High,8,To Do,Security,"phase:beta, component:security, type:story, priority:p1",,BETA-E05 Security & Beta Reliability,BETA-E05,Beta,Beta,B7
BETA-S20,BETA-S20,Add beta KPI dashboard with workflow metrics,Story,Make beta operating performance visible to founders and pilot customers.,Medium,5,To Do,Operations,"phase:beta, component:operations, type:story, priority:p2",,BETA-E05 Security & Beta Reliability,BETA-E05,Beta,Beta,B8
BETA-E06,BETA-E06,Beta Program Operations,Epic,Run the beta like a managed program rather than ad hoc customer support.,Medium,,Backlog,Release,"phase:beta, component:release, type:epic, priority:p2",BETA-E06 Beta Program Operations,,,Beta,Beta,B6-B8
BETA-S21,BETA-S21,Create beta onboarding kit and admin playbook,Story,"Package setup, roles, workflows, and support expectations for beta customers.",Medium,3,To Do,Release,"phase:beta, component:release, type:story, priority:p2",,BETA-E06 Beta Program Operations,BETA-E06,Beta,Beta,B6
BETA-S22,BETA-S22,Build feedback triage workflow linked to backlog,Story,Systematize customer feedback so product changes can be ranked and tracked.,Medium,3,To Do,Product,"phase:beta, component:product, type:story, priority:p2",,BETA-E06 Beta Program Operations,BETA-E06,Beta,Beta,B7
BETA-S23,BETA-S23,Add release notes and changelog process,Story,Create a consistent communication pattern for beta changes.,Low,2,To Do,Release,"phase:beta, component:release, type:story, priority:p3",,BETA-E06 Beta Program Operations,BETA-E06,Beta,Beta,B7
BETA-S24,BETA-S24,Run beta exit review and decide GA scope,Story,Use evidence from beta to define what must be true before a real app launch.,High,3,To Do,Product,"phase:beta, component:product, type:story, priority:p1",,BETA-E06 Beta Program Operations,BETA-E06,Beta,Beta,B8
REAL-E01,REAL-E01,Multi-Tenant SaaS Foundation,Epic,Turn the pilot/beta platform into a scalable product architecture for multiple customers.,High,,Backlog,Tenancy,"phase:real-app, component:tenancy, type:epic, priority:p1",REAL-E01 Multi-Tenant SaaS Foundation,,,Real App,Real App,R1-R3
REAL-S01,REAL-S01,Implement tenant-aware auth and data scoping,Story,"Make every request, approval, and query tenant-aware across the full stack.",High,8,To Do,Tenancy,"phase:real-app, component:tenancy, type:story, priority:p1",,REAL-E01 Multi-Tenant SaaS Foundation,REAL-E01,Real App,Real App,R1
REAL-S02,REAL-S02,Add self-serve organization provisioning,Story,Allow new customers to provision their organization without engineering intervention.,Medium,8,To Do,Tenancy,"phase:real-app, component:tenancy, type:story, priority:p2",,REAL-E01 Multi-Tenant SaaS Foundation,REAL-E01,Real App,Real App,R2
REAL-S03,REAL-S03,Add usage metering and plan enforcement,Story,"Track product usage for pricing, quotas, and account governance.",Medium,5,To Do,Billing,"phase:real-app, component:billing, type:story, priority:p2",,REAL-E01 Multi-Tenant SaaS Foundation,REAL-E01,Real App,Real App,R2
REAL-S04,REAL-S04,Add customer admin settings and delegated access controls,Story,Support real customer operations teams with more complete administrative tooling.,Medium,5,To Do,Auth,"phase:real-app, component:auth, type:story, priority:p2",,REAL-E01 Multi-Tenant SaaS Foundation,REAL-E01,Real App,Real App,R3
